"rk","player","pos","g","xpm","xpa","xp_percent","fgm","fga","fg_percent","pts","pnt","yds","y_p","awards","Team","Year"
2,"Joshua Karty","K",11,27,27,100,10,15,66.7,57,0,0,NA,NA,"stanford",2021
3,"Emmet Kenney","K",1,1,1,100,0,0,NA,1,0,0,NA,NA,"stanford",2021
1,"Andre Szmyt","PK",12,36,38,94.7,9,14,64.3,63,0,0,NA,NA,"syracuse",2021
2,"James Williams","P",8,0,0,NA,0,0,NA,0,38,1462,38.5,NA,"syracuse",2021
3,"Ian Hawkins","P",4,0,0,NA,0,0,NA,0,26,966,37.2,NA,"syracuse",2021
4,"Colby Barker","P",1,0,0,NA,0,0,NA,0,1,8,8,NA,"syracuse",2021
1,"Adam Barry","P",12,0,0,NA,0,0,NA,0,63,2643,42,NA,"temple",2021
2,"Rory Bell","K",12,23,23,100,9,16,56.3,50,0,0,NA,NA,"temple",2021
1,"Chase McGrath","PK",13,66,66,100,12,16,75,102,0,0,NA,NA,"tennessee",2021
2,"Paxton Brooks","P",13,0,0,NA,0,0,NA,0,45,1982,44,NA,"tennessee",2021
3,"JT Carver","PK",1,1,1,100,0,0,NA,1,0,0,NA,NA,"tennessee",2021
4,"Kolby Morgan","P",1,0,0,NA,0,0,NA,0,4,154,38.5,NA,"tennessee",2021
1,"Nik Constantinou","P",12,0,0,NA,0,0,NA,0,51,2377,46.6,NA,"texas-am",2021
2,"Seth Small","PK",12,37,37,100,22,27,81.5,103,0,0,NA,NA,"texas-am",2021
3,"Caden Davis","PK",11,1,1,100,0,1,0,1,0,0,NA,NA,"texas-am",2021
1,"Griffin Kell","PK",12,42,42,100,14,18,77.8,84,0,0,NA,NA,"texas-christian",2021
2,"Jordy Sandy","P",12,0,0,NA,0,0,NA,0,43,1861,43.3,NA,"texas-christian",2021
1,"Gavin Baechle","K",13,34,35,97.1,18,24,75,88,0,0,NA,NA,"texas-el-paso",2021
2,"Joshua Sloan","P",13,0,0,NA,0,0,NA,0,64,2526,39.5,NA,"texas-el-paso",2021
1,"Hunter Duplessis","PK",14,63,63,100,24,30,80,135,0,0,NA,NA,"texas-san-antonio",2021
2,"Lucas Dean","P",14,0,0,NA,0,0,NA,0,47,2126,45.2,NA,"texas-san-antonio",2021
3,"Everett Ornstein","PK",4,0,0,NA,1,1,100,3,0,0,NA,NA,"texas-san-antonio",2021
1,"Seamus O'Kelly","P",12,0,0,NA,0,0,NA,0,60,2303,38.4,NA,"texas-state",2021
2,"Seth Keller","K",12,32,32,100,15,18,83.3,77,0,0,NA,NA,"texas-state",2021
3,"David Nunez","P",1,0,0,NA,0,0,NA,0,1,54,54,NA,"texas-state",2021
1,"Austin McNamara","PK",13,0,0,NA,0,0,NA,0,42,2023,48.2,NA,"texas-tech",2021
2,"Jonathan Garibay","PK",12,49,50,98,15,16,93.8,94,0,0,NA,NA,"texas-tech",2021
1,"Cameron Dicker","K",12,49,50,98,13,15,86.7,88,47,2200,46.8,NA,"texas",2021
2,"Bert Auburn","K",1,3,3,100,0,0,NA,3,0,0,NA,NA,"texas",2021
1,"Bailey Flint","P",13,0,0,NA,0,0,NA,0,62,2491,40.2,NA,"toledo",2021
2,"Thomas Cluckey","PK",13,52,52,100,14,24,58.3,94,0,0,NA,NA,"toledo",2021
1,"Brooks Buce","K",12,32,34,94.1,8,9,88.9,56,0,0,NA,NA,"troy",2021
2,"Luke Magliozzi","P",12,0,0,NA,0,0,NA,0,61,2594,42.5,NA,"troy",2021
1,"Merek Glover","PK",12,33,33,100,6,11,54.5,51,0,0,NA,NA,"tulane",2021
2,"Ryan Wright","P",12,0,0,NA,0,0,NA,0,51,2424,47.5,NA,"tulane",2021
3,"Graham Dable","K",3,3,3,100,0,2,0,3,0,0,NA,NA,"tulane",2021
4,"Bobby Noel","P",1,0,0,NA,1,1,100,3,0,0,NA,NA,"tulane",2021
1,"Lachlan Wilson","P",13,0,0,NA,0,0,NA,0,61,2787,45.7,NA,"tulsa",2021
2,"Zack Long","PK",13,35,36,97.2,22,23,95.7,101,0,0,NA,NA,"tulsa",2021
1,"Luke Akers","K",12,0,0,NA,0,0,NA,0,34,1464,43.1,NA,"ucla",2021
2,"Nicholas Barr-Mira","K",12,52,54,96.3,14,21,66.7,94,0,0,NA,NA,"ucla",2021
1,"Connor Coles","PK",14,52,54,96.3,20,29,69,112,0,0,NA,NA,"utah-state",2021
2,"Stephen Kotsanlee","P",14,0,0,NA,0,0,NA,0,53,2251,42.5,NA,"utah-state",2021
1,"Michael Williams","P",14,0,0,NA,0,0,NA,0,8,354,44.3,NA,"utah",2021
2,"Cameron Rising","QB",13,0,0,NA,0,0,NA,0,3,98,32.7,NA,"utah",2021
3,"Jordan Noyes","",13,21,21,100,2,4,50,27,0,0,NA,NA,"utah",2021
4,"Jadon Redding","K",12,41,43,95.3,10,14,71.4,71,0,0,NA,NA,"utah",2021
5,"Cameron Peasley","P",9,0,0,NA,0,0,NA,0,27,1101,40.8,NA,"utah",2021
6,"Jordan Noyles","K",5,21,21,100,2,4,50,27,0,0,NA,NA,"utah",2021
1,"Harrison Smith","P",12,0,0,NA,0,0,NA,0,73,3111,42.6,NA,"vanderbilt",2021
2,"Joseph Bulovas","K",12,15,15,100,14,19,73.7,57,0,0,NA,NA,"vanderbilt",2021
1,"John Parker Romo","K",13,34,34,100,18,22,81.8,88,0,0,NA,NA,"virginia-tech",2021
2,"Peter Moore","P",13,0,0,NA,0,0,NA,0,65,2892,44.5,NA,"virginia-tech",2021
1,"Jacob Finn","P",12,0,0,NA,0,0,NA,0,41,1812,44.2,NA,"virginia",2021
2,"Brendan Farrell","P",9,34,34,100,11,13,84.6,67,0,0,NA,NA,"virginia",2021
3,"Justin Duenkel","K",6,16,16,100,4,6,66.7,28,0,0,NA,NA,"virginia",2021
1,"Ivan Mora","PK",14,0,0,NA,0,0,NA,0,50,2188,43.8,NA,"wake-forest",2021
2,"Nick Sciba","K",14,65,65,100,23,25,92,134,0,0,NA,NA,"wake-forest",2021
3,"Zach Murphy","PK",14,0,0,NA,0,0,NA,0,2,88,44,NA,"wake-forest",2021
1,"Dean Janikowski","K",13,42,44,95.5,14,17,82.4,84,0,0,NA,NA,"washington-state",2021
2,"Nick Haberer","P",13,0,0,NA,0,0,NA,0,52,2225,42.8,NA,"washington-state",2021
