"Rk","Player","Pos","G","Cmp","Att","Cmp.","Yds","TD","TD.","Int","Int.","Y.A","AY.A","Y.C","Y.G","Rate","Awards","Team","Year"
2,"Jordan Yates","QB",8,91,153,59.5,908,6,3.9,3,2,5.9,5.84,10,113.5,118.3,NA,"georgia-tech",2021
3,"Demetrius Knight","QB",6,1,1,100,4,0,0,0,0,4,4,4,0.7,133.6,NA,"georgia-tech",2021
4,"Demetrius Knight II","",12,1,1,100,4,0,0,0,0,4,4,4,0.3,133.6,NA,"georgia-tech",2021
1,"Stetson Bennett","QB",14,185,287,64.5,2862,29,10.1,7,2.4,10,10.9,15.5,204.4,176.7,NA,"georgia",2021
2,"JT Daniels","QB",6,68,94,72.3,722,7,7.4,3,3.2,7.7,7.73,10.6,120.3,155.1,NA,"georgia",2021
3,"Carson Beck","QB",4,10,23,43.5,176,2,8.7,2,8.7,7.7,5.48,17.6,44,119.1,NA,"georgia",2021
4,"Kenny McIntosh","RB",14,1,1,100,18,1,100,0,0,18,38,18,1.3,581.2,NA,"georgia",2021
5,"Brock Vandagriff","QB",2,0,1,0,0,0,0,0,0,0,0,NA,0,0,NA,"georgia",2021
1,"Chevan Cordeiro","QB",11,195,353,55.2,2793,17,4.8,11,3.1,7.9,7.47,14.3,253.9,131.4,NA,"hawaii",2021
2,"Brayden Schager","QB",6,65,107,60.7,615,2,1.9,5,4.7,5.7,4.02,9.5,102.5,105.9,NA,"hawaii",2021
3,"Calvin Turner","RB",13,0,1,0,0,0,0,0,0,0,0,NA,0,0,NA,"hawaii",2021
1,"Clayton Tune","QB",14,287,421,68.2,3546,30,7.1,10,2.4,8.4,8.78,12.4,253.3,157.7,NA,"houston",2021
2,"Ike Ogbogu","QB",6,20,35,57.1,256,2,5.7,1,2.9,7.3,7.17,12.8,42.7,131.7,NA,"houston",2021
3,"Seth Green","TE",14,0,1,0,0,0,0,1,100,0,-45,NA,0,-200,NA,"houston",2021
1,"Brandon Peters","QB",10,91,169,53.8,1170,7,4.1,4,2.4,6.9,6.69,12.9,117,120.9,NA,"illinois",2021
2,"Artur Sitkowski","QB",5,74,148,50,704,6,4.1,2,1.4,4.8,4.96,9.5,140.8,100.6,NA,"illinois",2021
3,"Caleb Griffin","K",2,0,1,0,0,0,0,0,0,0,0,NA,0,0,NA,"illinois",2021
4,"Casey Washington","WR",12,0,2,0,0,0,0,0,0,0,0,NA,0,0,NA,"illinois",2021
5,"Isaiah Williams","WR",12,0,1,0,0,0,0,0,0,0,0,NA,0,0,NA,"illinois",2021
1,"Michael Penix Jr.","QB",5,87,162,53.7,939,4,2.5,7,4.3,5.8,4.35,10.8,187.8,101.9,NA,"indiana",2021
2,"Donaven McCulley","QB",7,35,82,42.7,475,2,2.4,2,2.4,5.8,5.18,13.6,67.9,94.5,NA,"indiana",2021
3,"Jack Tuttle","QB",6,45,87,51.7,423,2,2.3,5,5.7,4.9,2.74,9.4,70.5,88.7,NA,"indiana",2021
4,"Grant Gremel","QB",5,32,58,55.2,269,1,1.7,1,1.7,4.6,4.21,8.4,53.8,96.4,NA,"indiana",2021
5,"Malachi Holt-Bennett","WR",8,0,1,0,0,0,0,0,0,0,0,NA,0,0,NA,"indiana",2021
1,"Brock Purdy","QB",13,292,407,71.7,3188,19,4.7,8,2,7.8,7.88,10.9,245.2,149,NA,"iowa-state",2021
2,"Hunter Dekkers","QB",4,20,36,55.6,193,2,5.6,1,2.8,5.4,5.22,9.7,48.3,113.4,NA,"iowa-state",2021
3,"Xavier Hutchinson","WR",13,1,1,100,49,1,100,0,0,49,69,49,3.8,841.6,NA,"iowa-state",2021
1,"Spencer Petras","QB",12,165,288,57.3,1880,10,3.5,9,3.1,6.5,5.82,11.4,156.7,117.3,NA,"iowa",2021
2,"Alex Padilla","QB",9,55,112,49.1,636,2,1.8,2,1.8,5.7,5.23,11.6,70.7,99.1,NA,"iowa",2021
3,"Tory Taylor","P",14,1,1,100,3,0,0,0,0,3,3,3,0.2,125.2,NA,"iowa",2021
4,"Deuce Hogan","QB",1,1,1,100,2,0,0,0,0,2,2,2,2,116.8,NA,"iowa",2021
5,"Gavin Williams","RB",14,0,1,0,0,0,0,0,0,0,0,NA,0,0,NA,"iowa",2021
6,"Nico Ragaini","WR",14,0,1,0,0,0,0,0,0,0,0,NA,0,0,NA,"iowa",2021
1,"Skylar Thompson","QB",10,162,233,69.5,2113,12,5.2,4,1.7,9.1,9.33,13,211.3,159.3,NA,"kansas-state",2021
2,"Will Howard","QB",6,30,55,54.5,332,1,1.8,1,1.8,6,5.58,11.1,55.3,107.6,NA,"kansas-state",2021
3,"Jaren Lewis","QB",4,12,23,52.2,154,1,4.3,2,8.7,6.7,3.65,12.8,38.5,105.4,NA,"kansas-state",2021
1,"Jason Bean","QB",11,102,182,56,1252,6,3.3,6,3.3,6.9,6.05,12.3,113.8,118.1,NA,"kansas",2021
2,"Jalon Daniels","QB",6,81,117,69.2,860,7,6,3,2.6,7.4,7.39,10.6,143.3,145.6,NA,"kansas",2021
3,"Miles Kendrick","QB",5,12,18,66.7,106,2,11.1,1,5.6,5.9,5.61,8.8,21.2,141.7,NA,"kansas",2021
4,"Trevor Wilson","WR",12,0,1,0,0,0,0,0,0,0,0,NA,0,0,NA,"kansas",2021
1,"Dustin Crum","QB",14,244,381,64,3206,20,5.2,6,1.6,8.4,8.76,13.1,229,148.9,NA,"kent-state",2021
2,"Collin Schlee","QB",10,17,24,70.8,238,1,4.2,0,0,9.9,10.75,14,23.8,167.9,NA,"kent-state",2021
1,"Will Levis","QB",13,233,353,66,2827,24,6.8,13,3.7,8,7.71,12.1,217.5,148.3,NA,"kentucky",2021
2,"Beau Allen","QB",3,8,12,66.7,92,0,0,0,0,7.7,7.67,11.5,30.7,131.1,NA,"kentucky",2021
3,"Chaucey Magwood","WR",13,1,1,100,15,0,0,0,0,15,15,15,1.2,226,NA,"kentucky",2021
1,"Malik Willis","QB",13,207,339,61.1,2862,27,8,12,3.5,8.4,8.44,13.8,220.2,151.2,NA,"liberty",2021
2,"Johnathan Bennett","QB",9,15,33,45.5,299,4,12.1,2,6.1,9.1,8.76,19.9,33.2,149.4,NA,"liberty",2021
3,"Nate Hampton","QB",1,1,4,25,63,1,25,0,0,15.8,20.75,63,63,239.8,NA,"liberty",2021
4,"D.J. Stubbs","WR",11,1,1,100,44,0,0,0,0,44,44,44,4,469.6,NA,"liberty",2021
5,"Kaidon Salter","QB",2,1,2,50,39,1,50,0,0,19.5,29.5,39,19.5,378.8,NA,"liberty",2021
6,"CJ Daniels","WR",13,1,1,100,13,0,0,0,0,13,13,13,1,209.2,NA,"liberty",2021
7,"Max Morgan","K",10,0,1,0,0,0,0,1,100,0,-45,NA,0,-200,NA,"liberty",2021
1,"Levi Lewis","QB",14,236,391,60.4,2917,20,5.1,4,1,7.5,8.02,12.4,208.4,137.9,NA,"louisiana-lafayette",2021
2,"Chandler Fields","QB",8,9,13,69.2,106,1,7.7,0,0,8.2,9.69,11.8,13.3,163.1,NA,"louisiana-lafayette",2021
3,"Chris Smith","RB",13,1,1,100,37,1,100,0,0,37,57,37,2.8,740.8,NA,"louisiana-lafayette",2021
