rk,player,pos,g,ret,yds,y_ret,krtd,ret_2,yds_2,y_ret_2,prtd,ap_yd,awards,Team,Year
4,Demetris Robertson,WR,12,0,0,,0,12,89,7.4,0,619,,auburn,2021
5,Ja'Varrius Johnson,WR,12,0,0,,0,5,57,11.4,0,390,,auburn,2021
6,Jaylin Simpson,CB,11,0,0,,0,1,-1,-1.0,0,-1,,auburn,2021
7,Shaun Shivers,RB,10,3,52,17.3,0,0,0,,0,302,,auburn,2021
8,Devin Guice,S,6,0,0,,0,2,21,10.5,0,21,,auburn,2021
1,Damari Alston,RB,12,4,47,11.8,0,0,0,,0,145,,auburn,2022
2,Jarquez Hunter,RB,12,14,302,21.6,0,0,0,,0,1194,,auburn,2022
3,Ja'Varrius Johnson,WR,12,0,0,,0,2,11,5.5,0,516,,auburn,2022
4,John Samuel Shenker,TE,12,1,8,8.0,0,0,0,,0,213,,auburn,2022
5,Keionte Scott,CB,12,2,34,17.0,0,14,134,9.6,0,168,,auburn,2022
6,Sean Jackson,RB,12,1,2,2.0,0,0,0,,0,2,,auburn,2022
7,Tyler Fromm,TE,12,1,3,3.0,0,0,0,,0,54,,auburn,2022
8,Dazalin Worsham,WR,11,0,0,,0,4,25,6.3,0,32,,auburn,2022
1,Brandon Frazier,TE,13,1,10,10.0,0,0,0,,0,83,,auburn,2023
2,Brian Battie,RB,13,28,645,23.0,0,0,0,,0,924,,auburn,2023
3,Jay Fair,WR,13,0,0,,0,1,-11,-11.0,0,313,,auburn,2023
4,Jarquez Hunter,RB,12,1,20,20.0,0,0,0,,0,1047,,auburn,2023
5,Sean Jackson,RB,11,3,33,11.0,0,0,0,,0,128,,auburn,2023
6,Ja'Varrius Johnson,WR,10,0,0,,0,2,3,1.5,0,362,,auburn,2023
7,Keionte Scott,CB,10,0,0,,0,15,222,14.8,1,222,,auburn,2023
8,Koy Moore,WR,10,0,0,,0,7,36,5.1,0,60,,auburn,2023
1,Amechi Uzodinma II,CB,13,6,137,22.8,0,0,0,,0,137,,ball-state,2021
2,Jayson Jackson,WR,13,1,10,10.0,0,1,-3,-3.0,0,869,,ball-state,2021
3,Ryan Lezon,TE,13,1,8,8.0,0,0,0,,0,14,,ball-state,2021
4,Brandon Berger,LB,11,1,9,9.0,0,0,2,,0,11,,ball-state,2021
5,Hassan Littles,WR,11,1,21,21.0,0,2,17,8.5,0,69,,ball-state,2021
6,Jalen McGaughy,WR,11,5,65,13.0,0,0,0,,0,215,,ball-state,2021
7,Justin Hall,WR,11,11,380,34.5,1,10,120,12.0,0,1368,,ball-state,2021
8,Donny Marcus,RB,9,2,26,13.0,0,0,0,,0,76,,ball-state,2021
9,Jimmy Daw,LB,7,2,23,11.5,0,0,0,,0,23,,ball-state,2021
10,Nic Jones,CB,6,1,24,24.0,0,0,0,,0,24,,ball-state,2021
1,Amechi Uzodinma II,CB,12,16,374,23.4,0,0,0,,0,380,,ball-state,2022
2,Jayson Jackson,WR,12,0,0,,0,11,56,5.1,0,984,,ball-state,2022
3,Ryan Lezon,TE,12,1,15,15.0,0,0,0,,0,51,,ball-state,2022
4,Nic Jones,DB,11,2,27,13.5,0,0,0,,0,39,,ball-state,2022
5,Dean Tate,WR,7,0,0,,0,1,1,1.0,0,20,,ball-state,2022
6,Derin McCulley,DB,5,3,57,19.0,0,0,0,,0,57,,ball-state,2022
7,Blair Schonhorst,CB,2,0,0,,0,1,0,0.0,0,0,,ball-state,2022
1,Ahmad Edwards,WR,12,1,23,23.0,0,0,0,,0,389,,ball-state,2023
2,Charlie Spegal,RB,12,1,14,14.0,0,0,0,,0,92,,ball-state,2023
3,Maximus Webster,TE,12,1,13,13.0,0,0,0,,0,29,,ball-state,2023
4,Nick Munson,WR,12,9,98,10.9,0,4,-11,-2.8,0,111,,ball-state,2023
5,Qian Magwood,WR,12,0,0,,0,10,26,2.6,0,384,,ball-state,2023
6,Malcolm Gillie,WR,10,14,304,21.7,0,0,0,,0,410,,ball-state,2023
1,Abram Smith,RB,14,1,13,13.0,0,0,0,,0,1709,,baylor,2021
2,Trestan Ebner,RB,14,24,538,22.4,1,19,154,8.1,0,1775,,baylor,2021
3,Tyquan Thornton,WR,14,1,18,18.0,0,0,0,,0,955,,baylor,2021
4,Drew Estrada,WR,12,1,26,26.0,0,0,0,,0,397,,baylor,2021
5,Josh Fleeks,WR,9,1,7,7.0,0,0,0,,0,107,,baylor,2021
6,Monaray Baldwin,WR,8,2,48,24.0,0,0,0,,0,142,,baylor,2021
1,Ben Sims,TE,12,1,0,0.0,0,0,0,,0,256,,baylor,2022
2,Gavin Holmes,WR,12,4,76,19.0,0,10,133,13.3,1,726,,baylor,2022
3,Matt Jones,LB,12,1,0,0.0,0,0,0,,0,0,,baylor,2022
4,Craig Williams,RB,11,10,192,19.2,0,0,0,,0,829,,baylor,2022
5,Monaray Baldwin,WR,11,9,147,16.3,0,1,-2,-2.0,0,781,,baylor,2022
6,Kelsey Johnson,TE,10,2,16,8.0,0,0,0,,0,79,,baylor,2022
7,Jordan Nabors,WR,9,7,155,22.1,0,4,58,14.5,0,280,,baylor,2022
8,Josh Fleeks,RB,3,1,10,10.0,0,0,0,,0,86,,baylor,2022
1,Josh Cameron,WR,12,0,0,,0,13,201,15.5,0,426,,baylor,2023
2,Kyler Jordan,LB,12,1,11,11.0,0,0,0,,0,14,,baylor,2023
3,Richard Reese,RB,12,12,394,32.8,2,0,0,,0,724,,baylor,2023
4,Corey Gordon Jr.,S,11,9,197,21.9,0,0,0,,0,197,,baylor,2023
5,Dawson Pendergrass,RB,11,3,49,16.3,0,0,0,,0,586,,baylor,2023
6,Jordan Nabors,WR,9,16,338,21.1,0,0,0,,0,444,,baylor,2023
7,Prince Ugoh,DL,5,1,7,7.0,0,0,0,,0,7,,baylor,2023
1,Khalil Shakir,WR,12,3,80,26.7,0,9,115,12.8,0,1442,,boise-state,2021
2,Riley Smith,TE,11,1,18,18.0,0,0,0,,0,104,,boise-state,2021
3,Stefan Cobbs,WR,9,10,200,20.0,0,1,81,81.0,1,707,,boise-state,2021
4,Tyler Eiguren,TE,8,1,7,7.0,0,0,0,,0,20,,boise-state,2021
5,Latrell Caples,WR,7,0,0,,0,2,0,0.0,0,65,,boise-state,2021
6,CT Thomas,WR,6,8,179,22.4,0,0,0,,0,293,,boise-state,2021
1,Ashton Jeanty,RB,14,1,22,22.0,0,0,0,,0,998,,boise-state,2022
2,Latrell Caples,WR,14,0,0,,0,10,55,5.5,0,610,,boise-state,2022
3,Tyler Crowe,RB,14,1,11,11.0,0,0,0,,0,150,,boise-state,2022
4,George Holani,RB,13,0,0,,0,11,82,7.5,0,1390,,boise-state,2022
5,Elelyon Noa,RB,12,1,19,19.0,0,0,0,,0,168,,boise-state,2022
6,Stefan Cobbs,WR,12,3,46,15.3,0,4,27,6.8,0,476,,boise-state,2022
7,Cole Wright,WR,10,10,221,22.1,0,0,0,,0,280,,boise-state,2022
8,Kaden Dudley,RB,8,7,199,28.4,0,0,0,,0,219,,boise-state,2022
1,Troy Wilkey,CB,14,2,31,15.5,0,0,0,,0,31,,boise-state,2023
2,Cole Wright,WR,11,2,37,18.5,0,1,0,0.0,0,37,,boise-state,2023
